step,loss,lrm,tok_per_sec
536,4.576543,1.0,30152
537,4.688508,1.0,28523
538,4.747292,1.0,30162
539,4.888247,1.0,29755
540,5.009483,1.0,30164
541,5.099028,1.0,30166
542,4.944046,1.0,30147
543,5.060434,1.0,30143
544,5.068859,1.0,30143
545,4.966265,1.0,30151
546,4.912712,1.0,29843
547,4.866792,1.0,30146
548,4.959466,1.0,30062
549,5.068007,1.0,30148
550,5.025661,1.0,30122
551,5.111832,1.0,30148
552,5.079687,1.0,30107
553,5.00565,1.0,30163
554,4.891431,1.0,30156
555,4.793028,1.0,30123
556,4.753867,1.0,30157
557,4.731529,1.0,30154
558,4.7156,1.0,30149
559,4.726206,1.0,30149
560,4.670012,1.0,30156
561,4.617397,1.0,30152
562,4.675837,1.0,30158
563,4.799359,1.0,30156
564,4.883004,1.0,30177
565,4.79643,1.0,28507
566,4.762436,1.0,30154
567,4.805335,1.0,30151
568,4.876048,1.0,30158
569,4.864621,1.0,30167
570,4.732257,1.0,30162
571,4.556775,1.0,30155
572,4.405032,1.0,30164
573,4.343754,1.0,30162
574,4.347475,1.0,30159
575,4.307297,1.0,30137
576,4.307954,1.0,30165
577,4.201242,1.0,30164
578,4.186742,1.0,30153
579,4.178081,1.0,30079
580,4.24506,1.0,30042
581,4.369974,1.0,30170
582,4.470735,1.0,30167
583,4.439089,1.0,28707
584,4.35959,1.0,30159
585,4.243825,1.0,29998
586,4.226533,1.0,30023
587,4.265476,1.0,30161
588,4.448884,1.0,30132
589,4.516731,1.0,30180
590,4.645188,1.0,30182
591,4.776497,1.0,30157
592,4.846136,1.0,30151
593,4.935777,1.0,30145
594,4.878881,1.0,30119
595,4.878916,1.0,30156
596,4.967012,1.0,30129
597,5.079572,1.0,30147
598,5.165151,1.0,30163
599,5.139546,1.0,30148
600,5.219987,1.0,30156
601,5.319247,1.0,27313
602,5.114003,1.0,30044
603,4.98592,1.0,30173
604,4.92126,1.0,30154
605,4.816656,1.0,28796
606,4.748169,1.0,30118
607,4.847082,1.0,30109
608,4.864347,1.0,30163
609,4.766701,1.0,30155
610,4.79855,1.0,29846
611,4.696694,1.0,30166
612,4.729272,1.0,30016
613,4.873278,1.0,30149
614,4.79785,1.0,30173
615,4.66172,1.0,30146
616,4.576294,1.0,30156
617,4.7154,1.0,30147
618,4.704232,1.0,30155
619,4.621403,1.0,30167
